LintCode  Num,LintCode Title,LeetCode Num,LeetCode Title,LeetCode Num,LeetCode Title
401,Kth  Smallest Number in Sorted Matrix,378,Kth  Smallest Element in a Sorted Matrix,668,Kth  Smallest Number in Multiplication Table
402,Continuous  Subarray Sum,523,Continuous  Subarray Sum,525,Contiguous Array
403,Continuous  Subarray Sum II,523,Continuous  Subarray Sum,525,Contiguous Array
404,Subarray Sum II,560,Subarray Sum  Equals K,523,Continuous  Subarray Sum
405,Submatrix Sum,,,,
406,Minimum  Size Subarray Sum,209,Minimum Size  Subarray Sum,325,Maximum  Size Subarray Sum Equals k
407,Plus One,66,Plus One,,
408,Add Binary,67,Add Binary,868,Binary Gap
411,Gray Code,89,Gray Code,,
412,Candy,135,Candy,723,Candy Crush
413,Reverse Integer,7,Reverse Integer,344,Reverse String
414,Divide Two  Integers,29,Divide Two Integers,371,Sum of Two Integers
415,Valid Palindrome,125,Valid Palindrome,680,Valid Palindrome II
417,Valid Number,65,Valid Number,9,Palindrome Number
418,Integer to Roman,12,Integer to Roman,397,Integer Replacement
419,Roman to Integer,13,Roman to Integer,371,Sum of Two Integers
420,Count and Say,38,Count and Say,327,Count of Range Sum
421,Simplify Path,71,Simplify Path,,
422,Length of Last  Word,58,Length of Last Word,,
423,Valid Parentheses,20,Valid Parentheses,32,Longest Valid  Parentheses
424,Evaluate  Reverse Polish Notation,150,Evaluate  Reverse Polish Notation,399,Evaluate Division
425,Letter  Combinations of a Phone Number,17,Letter  Combinations of a Phone Number,,
426,Restore IP  Addresses,93,Restore IP  Addresses,468,Validate IP Address
427,Generate  Parentheses,22,Generate  Parentheses,20,Valid Parentheses
428,"Pow(x, n)",50,"Pow(x, n)",,
430,Scramble String,87,Scramble String,796,Rotate String
431,Connected  Component in Undirected Graph,323,Number  of Connected Components in an Undirected Graph,,
432,Find  the Weak Connected Component in the Directed Graph,323,Number  of Connected Components in an Undirected Graph,,
433,Number of Islands,200,Number of Islands,305,Number of Islands  II
434,Number of  Islands II,305,Number of Islands  II,200,Number of Islands
435,Post Office  Problem,,,,
436,Maximal Square,221,Maximal Square,593,Valid Square
437,Copy Books,,,,
438,Copy Books II,,,,
439,Segment Tree  Build II,,,,
440,Backpack III,,,,
442,Implement Trie,28,Implement strStr(),208,Implement  Trie (Prefix Tree)
443,Two Sum  - Greater than target,744,Find  Smallest Letter Greater Than Target,,
445,Cosine Similarity,734,Sentence Similarity,737,Sentence  Similarity II
447,Search  in a Big Sorted Array,33,Search in  Rotated Sorted Array,81,Search  in Rotated Sorted Array II
448,Inorder  Successor in Binary Search Tree,285,Inorder  Successor in BST,255,Verify  Preorder Sequence in Binary Search Tree
450,Reverse Nodes  in k-Group,25,Reverse Nodes in  k-Group,151,Reverse Words  in a String
451,Swap Nodes in  Pairs,24,Swap Nodes in Pairs,,
452,Remove  Linked List Elements,203,Remove  Linked List Elements,206,Reverse Linked List
453,Flatten  Binary Tree to Linked List,114,Flatten  Binary Tree to Linked List,430,Flatten  a Multilevel Doubly Linked List
454,Rectangle Area,223,Rectangle Area,850,Rectangle Area II
457,Classical  Binary Search,704,Binary Search,669,Trim a Binary  Search Tree
458,Last Position  of Target,830,Positions of  Large Groups,,
459,Closest  Number in Sorted Array,540,Single  Element in a Sorted Array,88,Merge Sorted Array
460,K  Closest Numbers In Sorted Array,,,,
461,Kth  Smallest Numbers in Unsorted Array,378,Kth  Smallest Element in a Sorted Matrix,668,Kth  Smallest Number in Multiplication Table
462,Total  Occurrence of Target,,,,
463,Sort Integer,13,Roman to Integer,7,Reverse Integer
464,Sort Integers II,371,Sum of Two Integers,13,Roman to Integer
